GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14
1600000US0100100,0100100,"Abanda CDP, Alabama",42,31,0.0,45.8,0.0,45.8
1600000US0100124,0100124,"Abbeville city, Alabama",1930,130,11.5,5.5,5.4,2.2
1600000US0100460,0100460,"Adamsville city, Alabama",3051,242,8.3,3.4,4.0,1.8
1600000US0100484,0100484,"Addison town, Alabama",597,184,6.5,5.8,11.2,5.7
1600000US0100676,0100676,"Akron town, Alabama",266,87,0.0,11.5,7.9,8.7
1600000US0100820,0100820,"Alabaster city, Alabama",20104,390,24.2,2.1,9.9,1.5
1600000US0100988,0100988,"Albertville city, Alabama",13221,420,8.1,1.5,4.7,1.4
1600000US0101132,0101132,"Alexander City city, Alabama",9971,289,10.3,2.2,5.0,1.8
1600000US0101180,0101180,"Alexandria CDP, Alabama",2546,329,12.3,4.1,5.0,3.1
1600000US0101228,0101228,"Aliceville city, Alabama",2104,256,9.4,4.2,3.8,2.7
1600000US0101396,0101396,"Allgood town, Alabama",338,108,11.2,9.3,0.9,1.7
1600000US0101660,0101660,"Altoona town, Alabama",625,124,6.1,3.2,2.7,2.0
1600000US0101708,0101708,"Andalusia city, Alabama",6105,206,12.4,2.7,7.9,1.7
1600000US0101756,0101756,"Anderson town, Alabama",226,70,4.9,6.0,10.2,13.8
1600000US0101852,0101852,"Anniston city, Alabama",16329,447,12.5,1.6,9.1,1.4
1600000US0102116,0102116,"Arab city, Alabama",5349,193,15.5,3.1,8.3,2.1
1600000US0102260,0102260,"Ardmore town, Alabama",942,141,7.3,5.3,3.4,2.2
1600000US0102320,0102320,"Argo town, Alabama",2669,207,12.8,4.9,4.4,2.1
1600000US0102428,0102428,"Ariton town, Alabama",587,128,5.5,4.7,2.7,2.1
1600000US0102500,0102500,"Arley town, Alabama",509,208,5.3,6.8,3.1,3.8
1600000US0102836,0102836,"Ashford town, Alabama",1595,156,12.6,2.5,4.0,1.4
1600000US0102860,0102860,"Ashland town, Alabama",1435,194,3.6,2.3,3.6,2.1
1600000US0102908,0102908,"Ashville city, Alabama",1479,267,3.6,3.4,2.5,2.2
1600000US0102956,0102956,"Athens city, Alabama",14462,459,17.9,2.5,9.9,1.6
1600000US0103004,0103004,"Atmore city, Alabama",7560,234,8.4,2.5,2.8,1.2
1600000US0103028,0103028,"Attalla city, Alabama",3932,299,5.9,2.6,3.8,2.3
1600000US0103076,0103076,"Auburn city, Alabama",23447,490,30.6,2.1,29.1,2.0
1600000US0103220,0103220,"Autaugaville town, Alabama",596,149,6.9,4.5,3.2,2.1
1600000US0103364,0103364,"Avon town, Alabama",395,82,4.8,3.2,2.8,1.7
1600000US0103508,0103508,"Axis CDP, Alabama",502,167,6.8,9.9,1.6,2.8
1600000US0103556,0103556,"Babbie town, Alabama",401,133,4.0,4.3,1.7,2.1
1600000US0103676,0103676,"Baileyton town, Alabama",390,77,5.4,3.8,7.2,5.3
1600000US0103724,0103724,"Bakerhill town, Alabama",219,63,2.7,3.6,4.6,4.1
1600000US0103820,0103820,"Ballplay CDP, Alabama",1117,300,3.9,4.5,2.1,1.7
1600000US0103940,0103940,"Banks town, Alabama",163,60,8.0,5.0,4.9,5.6
1600000US0104660,0104660,"Bay Minette city, Alabama",4891,350,10.7,2.7,5.0,1.9
1600000US0104684,0104684,"Bayou La Batre city, Alabama",1576,177,7.0,3.5,5.5,5.1
1600000US0104852,0104852,"Bear Creek town, Alabama",1059,251,4.9,5.0,0.4,0.7
1600000US0104900,0104900,"Beatrice town, Alabama",238,90,22.7,12.0,4.2,4.2
1600000US0104948,0104948,"Beaverton town, Alabama",172,73,7.0,6.6,4.1,5.1
1600000US0105140,0105140,"Belgreen CDP, Alabama",50,54,0.0,41.9,32.0,23.7
1600000US0105164,0105164,"Belk town, Alabama",139,48,8.6,7.9,0.0,20.7
1600000US0105188,0105188,"Bellamy CDP, Alabama",524,222,9.9,15.5,0.0,6.0
1600000US0105212,0105212,"Belle Fontaine CDP, Alabama",398,151,15.8,16.8,0.0,7.8
1600000US0105692,0105692,"Benton town, Alabama",25,17,52.0,33.1,20.0,23.1
1600000US0105932,0105932,"Berry town, Alabama",815,142,5.5,2.7,2.3,2.2
1600000US0105980,0105980,"Bessemer city, Alabama",18644,496,8.6,1.5,4.0,0.9
1600000US0106460,0106460,"Billingsley town, Alabama",104,43,6.7,7.0,1.0,3.6
1600000US0107000,0107000,"Birmingham city, Alabama",141390,1335,13.3,0.6,8.2,0.5
1600000US0107120,0107120,"Black town, Alabama",135,42,13.3,11.1,3.0,5.4
1600000US0107456,0107456,"Blountsville town, Alabama",1039,224,6.0,3.0,2.8,2.1
1600000US0107588,0107588,"Blue Ridge CDP, Alabama",1072,230,38.9,13.5,15.4,8.5
1600000US0107672,0107672,"Blue Springs town, Alabama",73,39,6.8,9.7,4.1,4.8
1600000US0107912,0107912,"Boaz city, Alabama",5801,338,11.7,2.5,4.5,1.7
1600000US0108104,0108104,"Boligee town, Alabama",231,88,15.2,12.3,25.5,22.7
1600000US0108248,0108248,"Bon Air town, Alabama",90,44,0.0,29.4,0.0,29.4
1600000US0108680,0108680,"Boykin CDP, Alabama",92,69,14.1,20.9,0.0,29.0
1600000US0109016,0109016,"Brantley town, Alabama",727,123,10.2,5.4,5.2,4.3
1600000US0109064,0109064,"Brantleyville CDP, Alabama",616,218,3.1,5.3,1.1,2.0
1600000US0109136,0109136,"Brent city, Alabama",3191,285,5.0,2.8,0.5,0.7
1600000US0109208,0109208,"Brewton city, Alabama",3742,189,10.3,3.2,9.9,2.6
1600000US0109328,0109328,"Bridgeport city, Alabama",1519,158,2.8,1.9,1.0,1.1
1600000US0109400,0109400,"Brighton city, Alabama",1992,171,6.9,3.0,4.0,3.1
1600000US0109424,0109424,"Brilliant town, Alabama",809,125,5.4,3.7,3.0,2.2
